City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,basco,20.4487,121.9702,78.78,77,83,17.25,PH,1683574597
172,bamnet narong,15.4992,101.6897,80.04,71,83,0.89,TH,1683574597
173,ilhabela,-23.7781,-45.3581,76.73,80,14,4.9,BR,1683574597
174,mount isa,-20.7333,139.5,53.37,26,3,12.66,AU,1683574597
175,mana,5.6592,-53.7767,78.84,90,100,9.82,GF,1683574598
176,mount gambier,-37.8333,140.7667,52.56,83,89,6.06,AU,1683574598
177,bedford,52.1346,-0.4663,56.8,90,100,9.15,GB,1683574258
178,phitsanulok,16.9167,100.5,78.1,77,100,1.59,TH,1683574598
179,remire-montjoly,4.9167,-52.2667,82.44,78,75,12.66,GF,1683574598
180,afaahiti,-17.75,-149.2833,82.27,74,98,10.2,PF,1683574599
181,nova sintra,14.8667,-24.7167,68.85,81,0,18.41,CV,1683574599
182,touros,-5.1989,-35.4608,81.0,77,59,12.71,BR,1683574599
183,dudinka,69.4058,86.1778,27.63,97,99,5.28,RU,1683574599
184,khandyga,62.6667,135.6,24.4,66,100,3.94,RU,1683574599
185,er regueb,34.8593,9.7865,62.64,77,98,18.72,TN,1683574600
186,nar'yan-mar,67.6713,53.087,31.57,96,100,15.64,RU,1683574600
187,catumbela,-12.4314,13.5472,79.02,85,95,1.19,AO,1683574600
188,krasnoarmeyskaya,45.3661,38.2117,47.39,96,100,12.26,RU,1683574600
189,hami,42.8,93.45,54.9,19,10,2.84,CN,1683574602
190,klyuchi,52.2667,79.1667,64.6,25,31,8.41,RU,1683574602
191,koyulhisar,40.3025,37.8311,49.59,85,81,3.04,TR,1683574602
192,college,64.8569,-147.8028,48.52,64,75,3.44,US,1683574602
193,nyurba,63.2842,118.3319,17.19,93,97,5.17,RU,1683574602
194,margate,51.3813,1.3862,56.88,79,100,8.01,GB,1683574603
195,burayevo,55.8407,55.4083,36.0,64,6,5.37,RU,1683574604
196,buala,-8.145,159.5921,81.18,84,67,5.03,SB,1683574604
197,merritt,50.1123,-120.7942,49.37,86,100,2.59,CA,1683574605
198,pisco,-13.7,-76.2167,73.45,78,7,6.91,PE,1683574605
199,utrik,11.2278,169.8474,80.15,84,100,17.54,MH,1683574605
200,mejit,10.2753,170.8646,78.19,88,100,4.03,MH,1683574605
201,east london,-33.0153,27.9116,64.56,86,39,13.15,ZA,1683574606
202,ancud,-41.8697,-73.8203,48.25,79,100,1.3,CL,1683574370
203,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,75,75,6.71,RU,1683574606
204,minas de marcona,-15.2119,-75.1103,68.14,63,4,14.99,PE,1683574322
205,keflavik,64.0049,-22.5624,51.71,93,100,12.66,IS,1683574608
206,vila velha,-20.3297,-40.2925,76.95,94,75,2.3,BR,1683574608
207,nuuk,64.1835,-51.7216,38.88,81,40,11.5,GL,1683574609
208,fray luis beltran,-39.3167,-65.7667,65.46,33,8,10.02,AR,1683574609
